"y_gap","CPI_infl","FEDFUNDS"
-0.0166259813808724,-1.3973863769911,-3.76767605633803
0.00488713880598279,-0.687851247944753,-3.22767605633803
0.0144259746195477,-0.800119531900805,-3.18767605633803
0.0213104927007999,-0.986846963975356,-2.93767605633803
0.0208546060290434,-0.650837874975956,-2.37767605633803
0.0106137326289736,-0.837523475926387,-2.16767605633803
0.0125741887530134,-0.502777895728928,-1.99767605633803
0.00547017011236628,0.453140655347557,-1.86767605633803
0.0156287204683885,-0.0718781127027769,-1.65767605633803
0.0158561773984131,-0.294880248091261,-1.77767605633803
0.00748125429051942,0.0604564814986562,-1.61767605633803
0.0109772993506501,0.0517903825671694,-1.62767605633803
-0.00580459538450132,-0.414705764376615,-1.11767605633803
-0.0386760208187873,0.248805192366159,-1.89767605633803
-0.0389410707956398,0.167235776762915,-3.35767605633803
-0.0231611020315533,-1.0477228068458,-3.93767605633803
-0.00741856673834673,-0.805597979315325,-2.81767605633803
0.00393691121766871,-0.529497923820603,-2.13767605633803
0.0183090783883838,-0.978268258404063,-1.65767605633803
0.0108375975603529,-0.289904543929902,-1.14767605633803
0.00525549539831126,-0.191038786565994,-0.637676056338028
0.0187957618451914,-0.806682240684058,-0.627676056338028
0.00441860298773078,-0.297648945055933,-0.697676056338028
1.99038714437099e-05,-0.840955459439057,-1.38767605633803
-0.0225152077851499,-0.200263320373244,-2.14767605633803
-0.0257709896123243,-0.572737799934258,-3.16767605633803
-0.0192945534152325,-0.975388898884448,-3.12767605633803
-0.0110066041628065,-0.506477592696735,-3.44767605633803
-0.00267330571370202,-0.674468177508896,-2.35767605633803
0.00357387025772579,-0.674868712178194,-2.46767605633803
0.000832346660668302,-0.31048528406175,-1.83767605633803
0.00100886084686955,-0.84170598972511,-1.90767605633803
-0.00802274657334329,-0.346748102023069,-1.71767605633803
-0.0097382425380138,-0.677498551740579,-1.69767605633803
-0.0113868076713356,-0.743482351830354,-1.71767605633803
-0.0026499124180163,-0.188188353006496,-1.59767605633803
-0.00929135102629672,-0.679489572238206,-1.11767605633803
-0.00172980361925154,-0.258817045087083,-1.13767605633803
-0.00428720466748098,-0.842486735757913,-1.14767605633803
-0.002208704640604,-0.648886272547626,-1.19767605633803
-0.0125377228420898,-0.552947978146605,-1.25767605633803
-0.00198311180004703,-0.361980497634456,-0.717676056338028
-0.00266693527476095,-0.555618971548793,-0.527676056338028
0.00625695708797575,-0.239475982065445,-0.527676056338028
0.0162054297426688,-0.653388158057471,-0.537676056338028
0.0277140827064673,-0.150731601143521,-0.197676056338028
0.0189213141517203,0.372096813646978,0.052323943661972
0.015517197486083,-0.349542159491305,0.682323943661972
0.0122322315177942,0.350328043725652,0.912323943661972
0.00998351064681132,-0.722710850255775,0.322323943661972
-8.40324093243055e-05,-0.268739673157263,-0.567676056338028
-0.000969235052408424,0.0274596256373004,-0.827676056338028
-0.00338850594433081,0.0193916032397555,-0.737676056338028
0.00723460052376583,0.305152558789086,-0.00767605633802759
0.0145961390562561,0.00111587466175667,1.14232394366197
0.0134580773084902,0.56822434857648,1.41232394366197
0.00885690928512831,0.264811338760547,1.29232394366197
0.0161639813720046,0.251970350307813,1.68232394366197
0.0112491913890075,0.791903114194765,2.79232394366197
0.010112804988467,0.49320825608163,3.99232394366197
-0.00231593871583832,0.474746013162015,4.38232394366197
-0.0112174982605745,0.720976409534719,4.36232394366197
-0.0171446758764339,0.695910786209382,3.48232394366197
-0.0152954304892999,0.158798798739763,2.59232394366197
-0.0334094977167939,0.402354433622349,1.58232394366197
-0.0139960295015905,0.386248624866576,-0.477676056338028
-0.016040420412517,-0.374801092655845,-0.457676056338028
-0.015338286978075,0.364371095189959,0.692323943661972
-0.0205202715912222,-0.138602490219535,0.582323943661972
-0.00986084808081631,-0.143982803653913,-1.10767605633803
0.00504804364456508,-0.14928504620924,-0.447676056338028
0.00696989814517049,-0.154510904920606,-0.0676760563380281
0.0161931099397806,0.0775860167991648,0.432323943661972
0.0333832146465662,0.303067784934869,1.32232394366197
0.0371003573528,1.44011605237015,2.50232394366197
0.0248643312009117,0.262866563884385,5.78232394366197
0.0274736503524783,2.24349060934241,5.39232394366197
0.012089015500904,1.72274650599966,5.03232394366197
0.00774557364496742,1.86509528448504,5.89232394366197
-0.00849953797146718,1.58938825936647,8.30232394366197
-0.0192358390282778,2.51535303324173,5.44232394366197
-0.0384911822335253,1.64227170032875,2.51232394366197
-0.0385837533935037,0.454752113798058,0.872323943661972
-0.0290586137640144,0.994411166888849,1.48232394366197
-0.0233665437364269,0.778128060794598,1.20232394366197
-0.00903280181370347,0.751249952851625,0.252323943661972
-0.00982987438656187,-0.338607820187802,0.202323943661972
-0.0126312578855006,0.716743396263526,0.692323943661972
-0.0138062287472836,0.691809540113537,0.402323943661972
-0.0104534085178508,0.497432091183709,-0.00767605633802759
0.000333663435837953,1.31568140447855,0.112323943661973
0.00981717919643353,0.449720540675686,0.802323943661972
0.00157269533073658,0.4324060224089,1.85232394366197
-0.0033169669918158,0.895155575613655,2.08232394366197
0.0267583884294142,1.02098924013496,2.27232394366197
0.0292194200848944,1.59827599144539,3.19232394366197
0.0353654680383995,1.53858799931654,4.34232394366197
0.0303188406008321,1.19016799472795,5.45232394366197
0.0249114928226934,2.14483778877523,5.39232394366197
0.0261875652357448,2.46812753059308,5.85232394366197
0.0228774288513778,2.09437684641391,9.15232394366197
0.0204787005948276,2.78095743905335,9.20232394366197
-0.00567587527527678,2.77569760315905,12.992323943662
-0.0120719464455159,1.20478351192223,4.41232394366197
0.00125403528648408,1.63578997878122,8.19232394366197
0.015497231476198,2.03407079136608,14.462323943662
0.002821077028279,1.28069822185661,11.102323943662
0.00933491006509488,1.7831616461448,14.422323943662
-0.00724097576225099,1.1804351610057,10.462323943662
-0.0288332874422741,0.190170657339435,8.60232394366197
-0.0306088493248838,-0.24122028941787,10.322323943662
-0.0412201640937539,1.72274650599966,7.97232394366197
-0.0480980896264328,-0.261303277574792,5.09232394366197
-0.0427973616716261,-1.07888383781172,4.06232394366197
-0.0285880352523248,0.040303387409386,4.18232394366197
-0.0175461171349544,0.132255722033188,4.75232394366197
-0.00605108997636619,0.122215097658591,4.86232394366197
0.00382313301819742,0.406634819008706,4.94232394366197
0.0112077313630714,0.293662961170922,5.67232394366197
0.0108658844956294,-0.103342184793336,6.61232394366197
0.00897700137281275,0.0812280918718055,5.37232394366197
0.00848582834911251,-0.305540634997774,3.73232394366197
0.00709694623028987,0.347592024244987,3.65232394366197
0.0121234355322035,-0.222727164282715,3.26232394366197
0.00946453526923396,-0.134743252509244,3.37232394366197
0.00879059489698553,0.407266708579774,3.52232394366197
0.0034400950072746,-1.97270886256764,2.37232394366197
0.00326405819480109,-0.141526621387227,1.94232394366197
-0.000918331642621985,-0.237567388100528,1.23232394366197
-0.00287694186165588,0.208240943110534,1.81232394366197
-0.00130269879944713,0.285407220928286,1.75232394366197
-0.00159899664586148,0.0965079303235593,1.96232394366197
0.00673329797228294,0.174158532775577,2.67232394366197
0.00345737063690616,-0.00899586001497543,2.21232394366197
0.00835744379082663,0.1543664693284,2.25232394366197
0.00633659298239106,0.228306208900948,3.13232394366197
0.0120100847373759,0.299708011501805,3.68232394366197
0.0148651394281242,0.20359902584814,4.50232394366197
0.0155126105373319,0.680693821193019,5.22232394366197
0.0162293268304702,0.256066137108997,4.62232394366197
0.0118034951102186,-0.154510904920562,4.22232394366197
0.0165171644743892,0.785971505639678,3.61232394366197
0.0141830313069781,0.217252400339669,3.64232394366197
0.00904033232887017,0.358829547434221,3.53232394366197
-0.0058233019658414,1.32308853755114,3.49232394366197
-0.0162054711507803,0.0949928591530823,2.29232394366197
-0.0141652026018162,-0.578285979342956,1.29232394366197
-0.0149359869273107,-0.0638872594005681,1.20232394366197
-0.0173953788911424,-0.143269976689124,0.592323943661972
-0.011592485247833,-0.0762497964335741,-0.587676056338028
-0.00708789214647314,-0.0825761687553151,-0.887676056338028
-0.00373154582182179,-0.0888030895886783,-1.36767605633803
-3.9700017988627e-05,-0.0243363420430233,-1.51767605633803
-0.00526882129303176,-0.101511813441428,-1.59767605633803
-0.00658366975978686,-0.176962596180212,-1.65767605633803
-0.00917048582615342,-0.38919590777236,-1.55767605633803
-0.00323580197815582,-0.116439313316557,-1.62767605633803
-0.00137733305068593,-0.395184907977102,-1.56767605633803
0.00406869303491034,-0.26151230745664,-1.05767605633803
0.00167393291580154,-0.0628896904760358,-0.357676056338028
0.00463715063226875,-0.203207937782706,0.142323943661972
-0.000448571525875063,-0.141220985305095,0.912323943661972
-0.0062959902300834,-0.0147240570664221,1.43232394366197
-0.00684874393924495,-0.349176745443751,1.23232394366197
-0.00929771974481827,-0.286757316636903,1.14232394366197
-0.0112355779917884,-0.0960830791495494,0.942323943661972
-0.0042628028800377,0.0261048599102319,0.602323943661972
